id,name,x,y,min_zoom,url,size,anchor,type,description,location,photo
great_wall,八达岭长城,13408,11594,7,./assets/special_spot/great_wall.png,"[34.0, 27.0]","[17.0, 13.5]",land_mark,"北依军都山脊，南瞰京畿平野，八达岭长城踞于燕山与太行交错的山结之上。

城墙将云天与大地、塞外与中原劈作两半。自敌楼的箭窗望出去，千峰沉默，万壑回响，唯有山桃花年年如约。不远处，百年前，詹天佑在山谷里画下“人”字形铁路，钢轨贴着山势缓缓攀爬，为积弱的故土驮来一缕远方的希望；而今，银白色的高速列车在地下深处悄然穿过，为崭新的时代写下无声飞驰的气象。",北京市 · 延庆区,./assets/photos/badalingchangcheng.jpg
yunshifuzhong,云南师大附中,9465,7129,7,./assets/special_spot/yunshifuzhong.png,"[33.08, 28.8]","[16.54, 28.8]",land_mark,“满眼是烽烟炮火，满眼是流离颠簸”，它的前身联大附中曾经难寻一方安静的书桌。数十载光阴飞逝，战争的硝烟消散无踪。现代化的教室窗明几净，“先学会做人，再学做学问”的箴言却从未被遗忘。,昆明市 · 五华区,
xiaogangaozhong,孝感高中,12780,8856,7,./assets/special_spot/xiaogangaozhong.png,"[40.0, 40.0]","[20.0, 20.0]",land_mark,占位符,孝感市 · 孝南区,
whu,武汉大学,12928.16,8730,7,./assets/special_spot/whu.png,"[45.0, 26.0]","[25.5, 26.0]",land_mark,占位符,武汉市 · 武昌区,
beijing,北京,13489,11473,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,"北倚燕山余脉，西承太行屏障，南向华北平原徐徐铺展，北京安坐于山川收束与大地开阔的交界处，大自然在此设下经略四方的格局。
 城市中轴线如一条缓缓展开的时间之线，自紫禁城的屋脊延伸至天安门广场的开阔空间，王朝的秩序与时代的叙事在此交汇；未名湖畔，燕园静立，书声在林影与旧楼之间回荡，思想悄然生长；远望城郊，群山起伏，古关与驿道隐没在岁月之中，静静诉说往昔。山河依旧、人事却不断更替，这座城市究竟是在被时间塑造，还是在与时间对话？",北京市,
tianjin,天津,13750,11268,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,天津市,
datong,大同,12635.5,11509,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,山西省 · 大同市,
langfang,廊坊,13569,11382,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,河北省 · 廊坊市,
baoding,保定,13294,11128,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,河北省 · 保定市,
zhangjiakou,张家口,13060,11724,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,河北省 · 张家口市,
kunming,昆明,9525,7065,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,"南拥滇池烟波，东枕金马晴岚，西倚碧鸡苍翠，北收乌蒙余势，昆明坐落于高原台地与湖泊襟怀之间。
翠湖波光如散落的旧笺，海鸥年年衔来远方的消息，讲武堂的黄墙沉默伫立，共和的初啼曾在此划破晨雾；河山破碎之际，西南联大在春城留下足迹，保留下文明的火种；海晏河清之时，云师附中于故地续写弦歌，传扬着先贤的薪火。春城昆明，向每一位旅者敞开怀抱。",云南省 · 昆明市,
dali,大理,8765,7275,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,"西枕苍山巍峨，东浮洱海烟波，南望佛国钟磬，北依古道遗风，大理坐落于苍洱坝子的暖阳之中。
 苍山巍峨如屏，拱卫着千载古城的烟火人间；洱海澄波似镜，倒映出三塔凌空的清寂倒影。崇圣寺钟声随风远播，诉说着妙香古国的慈悲与安宁；喜洲古城的稻浪深处，白族照壁静静伫立，刻写下耕读传家的古风。千年的“风花雪月”，正静待旅者的探索。",云南省 · 大理白族自治州,./assets/photos/dali.jpg
nanchang,南昌,13341,8153,5,./assets/city_center.png,"[26.1, 40.25]","[13.05, 40.25]",city_center,占位符,江西省 · 南昌市,
